Institution,Conference,G,RBI,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO
A&M-Corpus Christi,Southland,42,146,"1,068",170,258,57,4,377,18,1,141,17,8,27,230,67,14,8,,53,10,,300,269
Abilene Christian,WAC,46,168,"1,177",192,321,60,9,474,25,5,143,40,8,17,249,66,16,10,,38,13,,310,279
Akron,MAC,44,141,"1,122",155,270,43,5,389,22,,91,18,9,23,254,66,10,2,,26,4,,287,285
Alabama,SEC,48,242,"1,212",271,361,64,8,579,46,1,179,35,15,24,182,32,17,9,,54,14,,313,353
Alabama A&M,SWAC,34,103,895,136,225,35,5,294,8,,79,17,5,28,151,30,13,3,,49,14,,294,199
Alabama St.,SWAC,46,134,"1,184",172,314,51,9,398,5,,92,20,10,31,227,64,6,5,,96,16,,304,326
Alcorn,SWAC,41,170,"1,025",188,272,43,21,387,10,1,122,21,11,15,202,53,12,6,,63,10,,243,290
App State,Sun Belt,47,233,"1,267",253,346,53,6,558,49,1,194,28,10,14,285,59,6,3,,41,4,,301,314
Arizona,Pac-12,45,284,"1,144",300,382,49,8,669,74,1,133,22,13,18,210,57,8,4,,20,7,,247,299
Arizona St.,Pac-12,39,257,980,270,325,64,5,630,77,1,140,47,14,12,172,70,17,5,,24,6,,179,307
Ark.-Pine Bluff,SWAC,42,108,978,117,229,40,6,323,14,1,67,8,9,15,238,69,7,3,,18,9,,239,260
Arkansas,SEC,44,305,"1,141",328,388,63,3,706,83,1,153,52,15,17,181,39,17,9,,36,8,,288,281
Army West Point,Patriot,46,134,"1,202",153,291,62,5,408,15,1,80,19,11,14,225,70,12,7,,36,8,,330,326
Auburn,SEC,47,277,"1,191",315,377,70,17,715,78,1,140,28,15,17,202,46,12,7,,65,17,,264,334
Austin Peay,OVC,46,172,"1,259",198,369,47,12,533,31,2,105,24,13,13,105,23,10,4,,35,8,,404,368
Ball St.,MAC,44,203,"1,173",223,334,51,7,552,51,,120,28,11,21,249,69,10,2,,59,15,,285,296
Baylor,Big 12,45,171,"1,149",200,323,53,11,434,12,1,127,30,7,21,188,53,10,3,,66,14,,334,300
Bellarmine,ASUN,45,86,"1,088",97,226,39,1,321,18,,102,12,9,17,249,58,7,3,,27,5,,276,334
Belmont,OVC,39,210,"1,054",235,336,52,7,480,26,,115,18,9,7,187,46,10,4,,85,18,,249,252
Bethune-Cookman,SWAC,44,87,"1,099",119,255,16,1,279,2,1,86,23,8,38,185,53,6,2,,43,22,,442,210
Binghamton,America East,35,112,927,128,226,41,9,345,20,1,77,20,10,12,237,69,7,2,,36,12,,212,239
Boise St.,Mountain West,41,250,"1,142",271,352,72,9,613,57,3,130,44,11,13,193,61,19,8,,31,6,,278,302
Boston College,ACC,44,137,"1,159",148,297,61,9,457,27,,86,26,7,11,221,55,14,6,,40,7,,327,291
Boston U.,Patriot,47,244,"1,276",276,403,68,20,580,23,,123,38,19,29,197,48,9,3,,57,11,,343,326
Bowling Green,MAC,39,144,"1,017",168,264,41,4,385,24,,125,21,11,24,246,71,12,3,,49,10,,261,244
Bradley,MVC,44,181,"1,153",204,322,59,12,489,28,,106,34,17,10,265,68,15,6,,57,9,,258,286
Brown,Ivy League,38,117,976,137,221,41,6,316,14,,94,27,4,21,186,41,11,7,,41,6,,286,271
Bryant,NEC,36,115,929,126,208,37,2,291,14,,113,21,8,22,242,54,6,3,,33,6,,199,278
Bucknell,Patriot,39,57,943,70,198,33,4,254,5,,72,9,5,11,198,66,8,3,,9,1,,276,265
Buffalo,MAC,38,133,984,147,213,38,6,347,28,1,139,23,5,3,304,104,5,2,,42,6,,157,303
Butler,Big East,41,144,"1,079",164,291,36,7,416,25,,127,27,9,20,204,47,7,2,,56,19,,263,306
BYU,WCC,41,239,"1,047",264,329,63,7,538,44,,165,32,11,23,149,54,18,12,,53,7,,319,245
Cal Poly,Big West,39,149,"1,041",163,300,44,9,401,13,,88,32,6,26,130,40,18,9,,17,9,,305,290
Cal St. Fullerton,Big West,47,213,"1,286",242,384,65,4,550,31,1,101,36,10,15,247,50,14,6,,67,12,,344,283
California,Pac-12,47,217,"1,274",245,379,58,6,599,50,1,134,33,9,23,210,68,11,6,,51,13,,346,337
California Baptist,WAC,50,151,"1,238",181,298,54,9,400,10,,103,30,17,44,247,60,9,6,,51,14,,367,340
Campbell,Big South,43,120,"1,072",147,248,43,6,351,16,,120,28,13,30,229,63,13,4,,61,9,,264,344
Canisius,MAAC,39,159,"1,069",189,304,48,12,424,16,,99,17,9,16,242,65,12,4,,81,15,,275,221
Central Ark.,ASUN,45,196,"1,214",225,380,41,8,524,29,,147,9,9,23,243,61,7,2,,74,15,,331,243
Central Conn. St.,NEC,43,107,"1,067",112,236,55,5,364,21,,103,14,9,16,307,84,6,1,,11,5,,224,302
Central Mich.,MAC,42,173,"1,117",186,301,64,4,508,45,,104,16,4,24,237,70,15,7,,10,4,,273,294
Charleston So.,Big South,45,157,"1,175",174,300,54,7,461,31,,95,17,7,14,221,42,15,7,,25,8,,315,327
Charlotte,C-USA,47,236,"1,254",253,373,77,11,640,56,3,156,34,12,14,206,59,13,7,,42,10,,312,352
Chattanooga,SoCon,44,179,"1,144",198,306,61,7,492,37,,93,25,14,30,239,60,7,2,,47,6,,290,303
Clemson,ACC,48,217,"1,219",236,336,54,10,578,56,1,147,42,7,6,247,54,22,9,,62,14,,284,323
Cleveland St.,Horizon,36,124,973,149,239,47,3,343,17,,79,20,5,27,230,41,4,2,,33,11,,265,226
Coastal Carolina,Sun Belt,42,168,"1,075",177,275,48,,497,58,,105,15,7,15,237,59,17,11,,32,6,,246,312
Col. of Charleston,CAA,46,106,"1,176",119,253,40,2,345,16,,97,38,8,26,249,65,17,8,,21,8,,337,341
Colgate,Patriot,39,126,996,142,245,59,8,386,22,,87,14,7,16,197,52,18,6,,18,6,,249,285
Colorado St.,Mountain West,37,150,"1,018",169,281,44,12,406,19,,75,14,11,6,176,48,10,3,,35,6,,271,263
Columbia,Ivy League,35,106,915,120,226,36,2,323,19,2,80,23,4,14,152,38,6,1,,18,8,,245,276
Coppin St.,MEAC,39,111,973,137,231,48,8,325,10,,105,20,3,17,199,48,14,6,,15,10,,253,271
Cornell,Ivy League,31,110,814,119,194,30,4,274,14,,94,21,9,14,172,46,10,4,,15,5,,184,259
Creighton,Big East,39,165,"1,019",181,282,54,6,450,34,2,107,28,11,19,265,64,9,5,,21,7,,269,206
CSU Bakersfield,Big West,36,63,821,78,163,22,10,229,8,2,65,23,5,19,247,74,10,2,,26,9,,193,218
CSUN,Big West,45,118,"1,132",136,235,43,7,343,17,,98,43,5,41,262,58,11,5,,28,6,,341,296
Dartmouth,Ivy League,38,106,940,127,224,42,4,310,12,,87,21,5,21,214,53,8,4,,37,9,,230,269
Dayton,Atlantic 10,36,127,930,142,272,35,3,361,16,1,87,17,14,34,164,35,13,3,,53,6,,292,222
Delaware,CAA,42,210,"1,144",233,319,62,11,511,36,1,149,24,11,16,163,62,13,3,,38,13,,317,334
Delaware St.,MEAC,33,59,739,70,146,16,4,188,6,,73,19,3,11,136,41,9,4,,39,12,,252,189
DePaul,Big East,44,246,"1,191",262,348,77,12,590,47,,154,39,13,10,243,47,6,6,,32,3,,306,282
Detroit Mercy,Horizon,36,62,864,70,175,20,,237,14,,80,13,2,7,187,37,11,4,,11,4,,262,228
Dixie St.,WAC,44,196,"1,160",214,363,59,4,538,36,,120,22,12,13,213,45,15,6,,47,10,,289,287
Drake,MVC,41,179,"1,031",203,269,51,7,394,20,,158,20,11,9,205,56,10,3,,65,7,,295,248
Drexel,CAA,41,205,"1,165",228,336,53,7,505,34,1,152,20,11,18,172,49,17,12,,34,4,,301,341
Duke,ACC,43,306,"1,098",320,368,71,6,685,78,,137,48,15,17,180,48,4,1,,65,12,,219,324
East Carolina,AAC,49,191,"1,247",224,329,63,13,481,21,,153,20,13,22,276,75,24,13,,64,13,,335,309
Eastern Ill.,OVC,49,238,"1,301",257,366,69,5,574,43,,178,16,13,32,238,84,10,4,,42,14,,304,393
Eastern Ky.,ASUN,43,132,"1,055",149,235,48,3,367,26,,141,35,16,9,251,58,13,6,,55,9,,225,349
Elon,CAA,44,150,"1,105",176,269,44,8,407,26,,136,22,8,16,230,66,12,4,,57,6,,267,316
ETSU,SoCon,48,79,"1,166",105,252,31,9,313,4,,97,23,11,16,266,55,15,8,,98,35,,317,316
Evansville,MVC,44,166,"1,102",190,280,63,11,431,22,,148,20,5,8,288,68,15,8,,46,7,,256,262
Fairfield,MAAC,38,111,942,127,224,44,3,307,11,2,85,15,8,43,246,63,7,3,,49,7,,239,255
Fairleigh Dickinson,NEC,39,150,"1,021",166,278,59,1,438,33,3,106,29,8,26,195,45,14,7,,34,7,,263,274
FGCU,ASUN,44,123,"1,115",130,278,38,9,391,19,1,84,25,6,22,215,39,6,2,,27,9,,288,339
FIU,C-USA,44,106,"1,054",125,235,36,7,306,7,,110,18,9,21,192,45,13,8,,43,12,,336,284
Fla. Atlantic,C-USA,46,130,"1,127",142,260,47,16,390,17,1,106,19,15,20,283,56,4,,,40,11,,271,314
Florida,SEC,48,249,"1,275",285,400,56,17,577,29,1,155,35,23,17,202,45,15,8,,108,11,,291,392
Florida A&M,SWAC,44,126,"1,136",153,272,51,7,373,12,1,89,20,6,14,224,44,17,9,,61,15,,337,275
Florida St.,ACC,48,271,"1,269",296,377,68,10,612,49,2,201,16,20,8,197,52,12,5,,76,18,,316,368
Fordham,Atlantic 10,41,149,"1,081",157,263,27,5,426,42,,111,15,8,15,258,63,10,2,,41,4,,272,265
Fresno St.,Mountain West,45,116,"1,112",139,266,40,12,381,17,2,123,19,6,25,263,71,11,7,,45,10,,295,285
Furman,SoCon,45,141,"1,125",165,247,44,6,360,19,,129,30,12,24,251,58,12,2,,42,5,,286,332
Ga. Southern,Sun Belt,40,121,991,142,224,23,8,353,30,,97,23,6,27,209,34,8,3,,46,10,,266,289
Gardner-Webb,Big South,38,114,996,129,239,51,5,327,9,,112,22,7,2,253,68,15,3,,29,9,,248,245
George Mason,Atlantic 10,44,152,"1,123",171,308,55,6,411,12,,119,15,11,19,221,56,19,4,,55,15,,270,317
George Washington,Atlantic 10,40,184,"1,042",208,309,72,5,478,29,,116,14,9,23,129,47,15,11,1,32,11,,306,287
Georgetown,Big East,38,155,"1,007",172,266,47,3,451,44,,106,36,8,18,204,42,6,2,,12,6,,236,297
Georgia,SEC,49,326,"1,265",351,419,71,9,772,88,,172,24,17,16,206,42,18,10,,46,10,,283,357
Georgia St.,Sun Belt,44,138,"1,091",161,261,44,6,392,25,,105,39,4,18,233,47,13,5,,100,22,,286,301
Georgia Tech,ACC,48,252,"1,280",285,374,70,6,552,32,1,218,41,9,26,226,72,16,7,,62,11,,372,308
Grambling,SWAC,37,144,990,185,269,45,5,339,5,1,114,23,7,21,191,45,5,1,,85,11,,249,242
Grand Canyon,WAC,43,251,"1,151",287,387,59,12,605,45,,102,40,13,15,175,53,2,,,112,16,,248,328
Green Bay,Horizon,39,148,"1,003",167,271,47,4,431,35,,113,26,5,27,239,53,13,8,,54,11,,221,259
Hampton,Big South,49,141,"1,283",176,317,45,7,418,14,1,120,17,6,28,264,95,10,4,,67,14,,364,318
Hartford,America East,38,102,962,122,229,56,7,368,23,,67,16,9,10,219,50,11,6,,31,11,,256,244
Harvard,Ivy League,33,100,834,122,206,23,6,289,16,,97,24,8,19,179,38,7,3,,51,7,,222,222
Hawaii,Big West,33,118,846,137,210,29,2,327,28,,85,30,2,12,203,55,9,3,,28,8,,189,224
Hofstra,CAA,39,99,"1,049",131,257,35,3,328,10,,92,20,6,22,266,65,10,5,,23,4,,271,237
Holy Cross,Patriot,45,96,"1,150",117,280,47,0,360,11,1,110,14,6,31,205,51,21,11,,20,5,,366,286
Houston,AAC,48,200,"1,224",223,324,45,3,519,48,,139,31,12,24,218,46,14,5,,57,18,,319,361
Houston Baptist,Southland,38,105,991,121,239,40,9,345,16,,88,14,7,19,196,58,8,3,,19,4,,280,263
Howard,MEAC,43,199,"1,075",249,321,52,19,462,17,1,137,20,13,18,151,30,19,2,,76,19,,337,239
Idaho St.,Big Sky,43,203,"1,182",227,342,55,8,512,33,,111,37,12,22,212,67,23,11,,53,5,,306,304
Illinois,Big Ten,46,224,"1,253",243,399,86,5,579,28,,108,25,10,34,165,35,13,8,,65,19,,373,317
Illinois St.,MVC,44,154,"1,143",167,283,48,9,430,27,,125,21,8,8,273,66,7,,,25,5,,278,289
Indiana,Big Ten,42,214,"1,106",240,332,76,5,577,53,5,104,48,8,10,205,43,12,5,,97,26,,256,290
Indiana St.,MVC,45,180,"1,184",206,332,63,6,503,32,3,118,23,8,22,193,59,13,3,,41,12,,364,278
Iona,MAAC,38,107,"1,060",128,230,39,3,362,29,1,115,20,2,6,277,62,11,5,,41,17,,239,279
Iowa,Big Ten,45,164,"1,145",184,297,49,8,434,24,,118,28,11,22,193,59,18,6,,33,11,,344,300
Iowa St.,Big 12,46,229,"1,184",251,330,73,13,552,41,,154,32,17,3,259,83,7,1,,50,6,,259,321
IUPUI,Horizon,42,99,"1,053",120,233,36,6,320,13,,100,15,4,22,304,75,7,2,,36,9,,268,220
Jackson St.,SWAC,43,147,"1,080",177,277,44,19,413,18,1,111,33,14,28,208,51,13,8,,72,10,,297,282
Jacksonville,ASUN,40,114,966,130,242,42,4,346,18,,94,24,4,19,201,51,13,6,,53,7,,248,278
Jacksonville St.,ASUN,46,183,"1,243",197,351,62,5,528,35,,114,39,11,27,203,47,5,2,,47,6,,295,385
James Madison,CAA,42,204,"1,093",229,303,61,3,568,66,,121,30,6,19,226,65,5,1,,28,8,,227,332
Kansas,Big 12,43,193,"1,127",217,314,63,7,517,42,,132,20,2,17,248,82,8,4,,20,9,,273,279
Kansas City,Summit League,40,99,"1,019",108,225,38,7,343,22,3,110,10,5,12,222,68,16,11,,39,5,,296,265
Kennesaw St.,ASUN,41,145,"1,070",155,283,45,3,424,30,,95,16,10,18,214,47,7,5,,41,13,,287,273
Kent St.,MAC,40,140,985,161,235,42,3,370,29,2,106,26,8,29,245,58,10,4,,20,3,,296,212
Kentucky,SEC,45,285,"1,207",306,403,59,9,666,62,4,114,10,13,30,206,41,4,,,42,10,,295,302
Lafayette,Patriot,37,107,948,127,217,39,2,284,8,,89,31,6,13,179,48,14,5,,30,8,,277,257
Lamar University,WAC,40,104,"1,010",130,209,35,4,309,19,,120,29,6,16,220,61,12,10,,15,3,,267,292
Lehigh,Patriot,35,138,935,154,279,43,8,407,23,1,77,3,10,10,144,35,11,5,,46,11,,265,221
Liberty,ASUN,49,251,"1,283",283,372,61,11,590,45,2,161,26,20,13,205,54,23,12,,43,13,,309,375
Lipscomb,ASUN,43,141,"1,099",154,257,40,12,366,15,,114,21,7,23,280,70,15,5,,24,16,,278,285
LIU,NEC,46,188,"1,248",211,363,58,3,478,17,,110,19,12,37,185,57,10,3,,39,11,,370,327
LMU (CA),WCC,45,211,"1,168",239,352,68,5,523,31,1,126,31,14,47,203,66,10,5,,56,13,,317,310
Long Beach St.,Big West,42,155,"1,106",175,308,45,5,387,8,,97,33,11,17,178,50,21,15,,24,11,,342,262
Longwood,Big South,46,148,"1,230",178,335,47,9,475,25,,102,23,10,11,247,54,8,,,74,21,,307,314
Louisiana,Sun Belt,46,295,"1,219",332,436,88,20,735,57,3,155,24,20,16,142,46,21,6,,115,25,,310,329
Louisiana Tech,C-USA,49,222,"1,260",246,366,66,13,569,37,,160,57,12,26,251,79,17,3,,52,4,,265,378
Louisville,ACC,44,222,"1,162",245,335,62,15,583,52,3,149,20,6,16,239,64,7,4,,31,10,,274,298
Loyola Chicago,MVC,39,89,990,106,198,26,10,280,12,,101,15,5,10,229,75,6,4,,49,18,,276,269
LSU,SEC,48,274,"1,251",294,373,81,9,637,55,1,198,25,16,19,198,68,11,6,,45,7,,307,376
Maine,America East,40,146,"1,063",157,269,48,8,396,21,,74,15,10,15,221,52,12,4,,39,11,,294,264
Manhattan,MAAC,37,101,952,112,217,40,7,334,21,1,77,11,3,8,196,65,10,3,,37,11,,257,261
Marist,MAAC,43,165,"1,113",178,274,50,5,421,29,1,106,26,12,10,226,62,13,5,,54,10,,294,301
Marshall,C-USA,43,244,"1,107",266,357,77,2,609,57,,144,39,9,19,154,39,19,10,,32,3,,333,266
Maryland,Big Ten,45,181,"1,185",230,335,61,6,456,16,,132,36,15,19,190,65,6,3,,122,15,,353,296
Massachusetts,Atlantic 10,43,137,"1,091",163,275,34,10,368,13,,148,28,12,21,232,56,12,4,,25,3,,287,295
McNeese,Southland,48,205,"1,208",244,337,62,13,497,24,2,152,41,17,16,194,58,22,8,1,112,21,,315,348
Memphis,AAC,49,167,"1,216",188,312,40,7,423,19,,125,17,13,33,211,64,15,7,,24,16,,361,330
Mercer,SoCon,47,146,"1,206",163,305,47,8,416,16,,138,36,6,28,252,71,13,6,,30,13,,313,327
Merrimack,NEC,33,70,827,76,177,24,1,224,7,,79,15,2,12,194,50,5,,,31,7,,257,180
Miami (OH),MAC,43,253,"1,162",270,353,60,10,709,92,6,147,16,12,6,209,42,10,2,,37,8,,219,368
Michigan,Big Ten,43,183,"1,134",207,324,73,8,491,26,1,107,29,9,17,231,64,6,3,,46,13,,296,276
Michigan St.,Big Ten,48,164,"1,247",183,331,59,7,476,24,1,129,22,15,36,230,62,23,11,,47,17,,280,419
Middle Tenn.,C-USA,47,136,"1,217",148,302,47,4,399,14,,100,26,12,39,197,40,12,9,,48,9,,357,375
Minnesota,Big Ten,42,225,"1,120",240,320,59,5,563,58,2,162,43,8,20,215,62,14,6,,28,1,,233,350
